url,normalized_path,in_page_inventory,page_inventory_route,page_type_guess,is_indexable_guess,gsc_impressions,gsc_clicks,gsc_position,ga4_sessions,ga4_engaged_sessions,ga4_key_events,issue_category,severity_guess,recommended_manual_action,confidence,notes
/schoonmaak-na-verbouwing/,/schoonmaak-na-verbouwing/,True,/schoonmaak-na-verbouwing/,service,False,1143,0,35.9,3,3,0,disabled_page_receiving_traffic,high,"Review noindex/canonical status; if page is intentionally disabled, ensure proper noindex tag or 301 redirect to parent",high,Page exists in inventory but is_indexable=False; still gets 1143 GSC impressions + 3 GA4 sessions
/gevelisolatie-woning-almere-35m2-sierpleister/,/gevelisolatie-woning-almere-35m2-sierpleister/,False,,,,828,0,13.3,0,0,0,likely_old_project_slug,high,301 redirect to /onze-werken/almere-gevelisolatie-35m2-sierpleister-2024/,medium,"Root-level project slug (should be under /onze-werken/); 828 GSC impressions, 0 GA4 sessions; likely target: /onze-werken/almere-gevelisolatie-35m2-sierpleister-2024/"
/over_ons/,/over_ons/,False,,,,152,1,14.7,6,3,0,possible_redirect_candidate,high,301 redirect to /over-ons/,high,"Underscore slug variant; 152 GSC impressions, 6 GA4 sessions; current equivalent: /over-ons/"
(not set),(not set),False,,,,0,0,0.0,84,1,0,measurement_issue,medium,Investigate GA4 (not set) landing pages — likely missing page_location or referrer,high,GA4 (not set) — 84 sessions with almost no engagement; likely bot or misconfigured tracking
/muren-stucen-2/,/muren-stucen-2/,False,,,,32,0,52.8,2,1,0,possible_redirect_candidate,medium,301 redirect to /muren-stucen/,high,"Numbered duplicate slug; 32 GSC impr, 2 GA4 sessions; target: /muren-stucen/"
/vlaardingen-gevelisolatie-6cm-sierpleister-15mm/,/vlaardingen-gevelisolatie-6cm-sierpleister-15mm/,False,,,,18,0,38.7,1,1,0,likely_old_project_slug,medium,301 redirect to /onze-werken/vlaardingen-gevelisolatie-6cm-sierpleister-2024/,medium,"Root-level project slug (should be under /onze-werken/); 18 GSC impressions, 1 GA4 sessions; likely target: /onze-werken/vlaardingen-gevelisolatie-6cm-sierpleister-2024/"
/✅️/,/✅️/,False,,,,0,0,0.0,10,4,0,suspicious_slug,low,Investigate source of emoji URLs; likely bot/spam traffic — monitor only,medium,"Emoji characters in URL; 10 GA4 sessions, likely not real user traffic"
/object13/,/object13/,False,,,,0,0,0.0,6,2,0,likely_old_project_slug,low,Review if these are legacy project stubs; redirect to /onze-werken/ if so,medium,Old object slug pattern; 6 GA4 sessions
/object9/,/object9/,False,,,,0,0,0.0,6,3,0,likely_old_project_slug,low,Review if these are legacy project stubs; redirect to /onze-werken/ if so,medium,Old object slug pattern; 6 GA4 sessions
/buitenstucwerk-woning-halsteren-sierpleister-schilderwerk-2025/,/buitenstucwerk-woning-halsteren-sierpleister-schilderwerk-2025/,False,,,,0,0,0.0,5,3,0,likely_old_project_slug,medium,301 redirect to /onze-werken/halsteren-buitenstucwerk-sierpleister-schilderwerk-2025/,medium,"Root-level project slug (should be under /onze-werken/); 0 GSC impressions, 5 GA4 sessions; likely target: /onze-werken/halsteren-buitenstucwerk-sierpleister-schilderwerk-2025/"
/object7/,/object7/,False,,,,3,0,6.0,0,0,0,likely_old_project_slug,low,Review if these are legacy project stubs; redirect to /onze-werken/ if so,medium,Old object slug pattern; 0 GA4 sessions
/gevelisolatie-woning-vlaardingen-10cm-sierpleister/,/gevelisolatie-woning-vlaardingen-10cm-sierpleister/,False,,,,1,0,7.0,1,0,0,likely_old_project_slug,medium,301 redirect to /onze-werken/vlaardingen-gevelisolatie-10cm-sierpleister-2025/,medium,"Root-level project slug (should be under /onze-werken/); 1 GSC impressions, 1 GA4 sessions; likely target: /onze-werken/vlaardingen-gevelisolatie-10cm-sierpleister-2025/"
/✅️👍/,/✅️👍/,False,,,,0,0,0.0,2,1,0,suspicious_slug,low,Investigate source of emoji URLs; likely bot/spam traffic — monitor only,medium,"Emoji characters in URL; 2 GA4 sessions, likely not real user traffic"
//onze-werken/halsteren-buitenstucwerk-sierpleister-schilderwerk-2025/,//onze-werken/halsteren-buitenstucwerk-sierpleister-schilderwerk-2025/,False,,,,0,0,0.0,1,1,0,suspicious_slug,low,Check server/CDN config for double-slash URL normalization,medium,Double-slash URL; likely should be /onze-werken/halsteren-buitenstucwerk-sierpleister-schilderwerk-2025/
/gevelisolatie-woning-klaaswaal-6cm-sierpleister/,/gevelisolatie-woning-klaaswaal-6cm-sierpleister/,False,,,,0,0,0.0,1,1,0,likely_old_project_slug,medium,301 redirect to /onze-werken/klaaswaal-gevelisolatie-6cm-sierpleister-2025/,medium,"Root-level project slug (should be under /onze-werken/); 0 GSC impressions, 1 GA4 sessions; likely target: /onze-werken/klaaswaal-gevelisolatie-6cm-sierpleister-2025/"
/images/muren-stucen-voordelen.webp,/images/muren-stucen-voordelen.webp,False,,,,1,0,12.0,0,0,0,likely_old_utility_slug,low,No action needed unless images are showing in web search results,high,Image file URL in GSC index; not a page
/images/projects/halsteren-buitenstucwerk-na-01.webp,/images/projects/halsteren-buitenstucwerk-na-01.webp,False,,,,1,0,2.0,0,0,0,likely_old_utility_slug,low,No action needed unless images are showing in web search results,high,Image file URL in GSC index; not a page
/object6/,/object6/,False,,,,1,0,12.0,0,0,0,likely_old_project_slug,low,Review if these are legacy project stubs; redirect to /onze-werken/ if so,medium,Old object slug pattern; 0 GA4 sessions
/onze-werken/bruinisse-gevelisolatie-6cm-sierpleister-2024/,/onze-werken/bruinisse-gevelisolatie-6cm-sierpleister-2024/,False,,,,0,0,0.0,1,1,0,possible_redirect_candidate,low,301 redirect to updated version: /onze-werken/bruinisse-gevelisolatie-6cm-sierpleister-2025/,medium,Old year variant; newer version exists at /onze-werken/bruinisse-gevelisolatie-6cm-sierpleister-2025/; 1 GA4 sessions
/onze-werken/nieuw-/,/onze-werken/nieuw-/,False,,,,0,0,0.0,1,1,1,suspicious_slug,low,Investigate truncated URL; likely a partial/broken link,medium,Truncated project URL; 1 GA4 sessions
/onze-werken/nieuw-beijerland-gevelisolatie-12cm-sierpleister-2024/,/onze-werken/nieuw-beijerland-gevelisolatie-12cm-sierpleister-2024/,False,,,,0,0,0.0,1,1,0,possible_redirect_candidate,low,301 redirect to updated version: /onze-werken/nieuw-beijerland-gevelisolatie-12cm-sierpleister-2025/,medium,Old year variant; newer version exists at /onze-werken/nieuw-beijerland-gevelisolatie-12cm-sierpleister-2025/; 1 GA4 sessions
/wp-content/uploads/2025/10/stuc-gladde-strakke-afwerking.jpg,/wp-content/uploads/2025/10/stuc-gladde-strakke-afwerking.jpg,False,,,,1,0,24.0,0,0,0,legacy_url,low,Ignore if site is no longer WordPress; will naturally drop from index,high,"WordPress legacy wp-content path; 1 GSC impression, harmless"
