seed_keyword,related_keyword,search_volume,cpc,competition,competition_level,intent,already_in_keyword_master_guess,already_in_gsc_guess,already_in_ads_guess,already_in_planner_guess,novelty_bucket,why_interesting,notes
buitengevelisolatie,buitengevelisolatie,480,3.09,1,HIGH,transactional,yes,yes,yes,yes,already_known_core,Already tracked with active data,
buitengevelisolatie,buitengevel isoleren en bekleden,390,1.89,1,HIGH,commercial,yes,no,yes,no,already_known_core,Already tracked with active data,
buitengevelisolatie,zelf buitenmuur isoleren,140,0.87,1,HIGH,transactional,no,no,no,no,new_but_relevant,"New keyword with vol=140, potentially useful; Intent=transactional",
buitengevelisolatie,buitenmuur isoleren prijs per m2,70,2.21,0.9,HIGH,transactional,yes,no,yes,yes,already_known_core,Already tracked with active data,
buitengevelisolatie,wetgeving isolatie buitenmuur,70,1.89,0.36,MEDIUM,commercial,no,no,no,no,new_but_relevant,"New keyword with vol=70, potentially useful; CPC=1.89 suggests commercial value; Intent=commercial",
buitengevelisolatie,subsidie buitengevelisolatie,30,1.42,0.55,MEDIUM,navigational,yes,no,yes,no,already_known_core,Already tracked with active data,
buitengevelisolatie,buitengevelisolatie stucwerk,20,0.97,0.94,HIGH,transactional,yes,no,yes,yes,already_known_core,Already tracked with active data,
buitengevelisolatie,buitengevelisolatie kosten,10,2.43,0.74,HIGH,commercial,yes,yes,yes,yes,already_known_core,Already tracked with active data,
buitengevelisolatie,buitengevelisolatie bedrijven,10,8.69,0.77,HIGH,navigational,yes,no,yes,yes,already_known_core,Already tracked with active data,
buitenmuur isoleren,buitenmuur isoleren,1000,2.32,1,HIGH,commercial,yes,no,yes,yes,already_known_core,Already tracked with active data,
buitenmuur isoleren,buitengevel isoleren en bekleden,390,1.89,1,HIGH,commercial,yes,no,yes,no,already_known_core,Already tracked with active data,
buitenmuur isoleren,buitenmuur isoleren binnenkant,140,1.36,1,HIGH,informational,yes,no,no,yes,already_known_secondary,In keyword master but limited active data,
buitenmuur isoleren,zelf buitenmuur isoleren,140,0.87,1,HIGH,transactional,no,no,no,no,new_but_relevant,"New keyword with vol=140, potentially useful; Intent=transactional",
buitenmuur isoleren,wetgeving isolatie buitenmuur,70,1.89,0.36,MEDIUM,commercial,no,no,no,no,new_but_relevant,"New keyword with vol=70, potentially useful; CPC=1.89 suggests commercial value; Intent=commercial",
buitenmuur isoleren,buitenmuur isoleren en stucen,70,2.93,0.94,HIGH,commercial,yes,yes,yes,no,already_known_core,Already tracked with active data,
buitenmuur isoleren,buitenmuur isoleren prijs per m2,70,2.21,0.9,HIGH,transactional,yes,no,yes,yes,already_known_core,Already tracked with active data,
buitenmuur isoleren,buitenmuur isoleren en bekleden met hout,50,0.57,1,HIGH,transactional,no,no,no,no,new_but_relevant,"New keyword with vol=50, potentially useful; Intent=transactional",
buitenmuur isoleren,goedkoop buitenmuur isoleren,20,2.33,1,HIGH,commercial,yes,no,no,yes,already_known_secondary,In keyword master but limited active data,
