landing_page_raw,normalized_path,mapped_route_guess,mapped_page_type_guess,sessions,engaged_sessions,engagement_rate,avg_session_duration_seconds,key_events,notes
/gevelisolatie/,/gevelisolatie/,/gevelisolatie/,service,104,61,0.5865,319.4,3,
/,/,/,home,91,58,0.6374,321.0,2,
(not set),(not set),,,43,0,0.0,0.2,0,GA4 (not set) landing page
/gevelisolatie/afwerkingen/,/gevelisolatie/afwerkingen/,/gevelisolatie/afwerkingen/,cluster,42,28,0.6667,233.4,3,
/gevelisolatie/kosten/,/gevelisolatie/kosten/,/gevelisolatie/kosten/,cluster,31,17,0.5484,162.3,0,
/buiten-stucwerk/,/buiten-stucwerk/,/buiten-stucwerk/,service,14,3,0.2143,8.4,0,
/onze-werken/,/onze-werken/,/onze-werken/,archive,9,8,0.8889,336.4,1,
/sierpleister/,/sierpleister/,/sierpleister/,service,9,3,0.3333,113.3,0,
/gevelisolatie/rc-waarde-dikte/,/gevelisolatie/rc-waarde-dikte/,/gevelisolatie/rc-waarde-dikte/,cluster,5,4,0.8,52.7,0,
/over-ons/,/over-ons/,/over-ons/,utility,5,4,0.8,703.7,0,
/gevel-schilderen/,/gevel-schilderen/,/gevel-schilderen/,service,4,3,0.75,795.4,0,
/gevelisolatie/materialen/,/gevelisolatie/materialen/,/gevelisolatie/materialen/,cluster,4,2,0.5,177.1,0,
/gevelisolatie/den-haag/,/gevelisolatie/den-haag/,/gevelisolatie/den-haag/,city,3,3,1.0,226.4,0,
/contact/,/contact/,/contact/,utility,3,1,0.3333,503.2,0,
/gevelisolatie/subsidie-vergunning/,/gevelisolatie/subsidie-vergunning/,/gevelisolatie/subsidie-vergunning/,cluster,3,2,0.6667,66.2,0,
/onze-werken/rotterdam-julianastraat-aanbouw-isolatie-4cm-2026/,/onze-werken/rotterdam-julianastraat-aanbouw-isolatie-4cm-2026/,/onze-werken/rotterdam-julianastraat-aanbouw-isolatie-4cm-2026/,project,3,3,1.0,50.1,0,
/onze-werken/klaaswaal-gevelisolatie-6cm-sierpleister-2025/,/onze-werken/klaaswaal-gevelisolatie-6cm-sierpleister-2025/,/onze-werken/klaaswaal-gevelisolatie-6cm-sierpleister-2025/,project,2,0,0.0,0.0,0,
/onze-werken/rottekade-gevelisolatie-schilderwerk-2024/,/onze-werken/rottekade-gevelisolatie-schilderwerk-2024/,/onze-werken/rottekade-gevelisolatie-schilderwerk-2024/,project,2,1,0.5,21.3,0,
/gevelisolatie/bergen-op-zoom/,/gevelisolatie/bergen-op-zoom/,/gevelisolatie/bergen-op-zoom/,city,1,1,1.0,112.6,0,
/gevelisolatie/dordrecht/,/gevelisolatie/dordrecht/,/gevelisolatie/dordrecht/,city,1,1,1.0,328.0,0,
/gevelisolatie/gouda/,/gevelisolatie/gouda/,/gevelisolatie/gouda/,city,1,1,1.0,175.8,0,
/gevelisolatie/hellevoetsluis/,/gevelisolatie/hellevoetsluis/,/gevelisolatie/hellevoetsluis/,city,1,0,0.0,9.3,0,
/gevelisolatie/leiden/,/gevelisolatie/leiden/,/gevelisolatie/leiden/,city,1,1,1.0,607.9,0,
/gevelisolatie/roosendaal/,/gevelisolatie/roosendaal/,/gevelisolatie/roosendaal/,city,1,1,1.0,100.1,1,
/gevelisolatie/rotterdam/,/gevelisolatie/rotterdam/,/gevelisolatie/rotterdam/,city,1,1,1.0,386.5,0,
/muren-stucen/,/muren-stucen/,/muren-stucen/,service,1,0,0.0,2.7,0,
/onze-werken/etten-leur-gevelisolatie-10cm-ral9010-2025/,/onze-werken/etten-leur-gevelisolatie-10cm-ral9010-2025/,/onze-werken/etten-leur-gevelisolatie-10cm-ral9010-2025/,project,1,1,1.0,40.9,0,
/onze-werken/halsteren-buitenstucwerk-sierpleister-schilderwerk-2025/,/onze-werken/halsteren-buitenstucwerk-sierpleister-schilderwerk-2025/,/onze-werken/halsteren-buitenstucwerk-sierpleister-schilderwerk-2025/,project,1,1,1.0,660.1,0,
/onze-werken/rotterdam-buitenstucwerk-cementpleister-2025/,/onze-werken/rotterdam-buitenstucwerk-cementpleister-2025/,/onze-werken/rotterdam-buitenstucwerk-cementpleister-2025/,project,1,1,1.0,20.6,0,
/onze-werken/vlaardingen-gevelisolatie-6cm-sierpleister-2024/,/onze-werken/vlaardingen-gevelisolatie-6cm-sierpleister-2024/,/onze-werken/vlaardingen-gevelisolatie-6cm-sierpleister-2024/,project,1,0,0.0,0.0,0,
