page,total_clicks,total_impressions,weighted_ctr,avg_position,distinct_queries_count,page_type_guess,route_match_guess
https://bm-klus-bv.nl/,25,481,0.051975,16.03,38,home,/
https://bm-klus-bv.nl/gevelisolatie/,6,774,0.007752,20.5,36,service,/gevelisolatie/
https://bm-klus-bv.nl/buiten-stucwerk/,2,1513,0.001322,18.49,134,service,/buiten-stucwerk/
https://bm-klus-bv.nl/contact/,1,25,0.04,2.52,1,utility,/contact/
https://bm-klus-bv.nl/over_ons/,1,39,0.025641,3.21,3,,/over_ons/
https://bm-klus-bv.nl/gevelisolatie/leiden/,1,203,0.004926,6.32,3,city,/gevelisolatie/leiden/
https://bm-klus-bv.nl/gevelisolatie/kosten/,1,111,0.009009,17.51,14,cluster,/gevelisolatie/kosten/
https://bm-klus-bv.nl/gevelisolatie/den-haag/,0,179,0.0,10.5,6,city,/gevelisolatie/den-haag/
https://bm-klus-bv.nl/gevel-schilderen/,0,182,0.0,31.25,28,service,/gevel-schilderen/
https://bm-klus-bv.nl/over-ons/,0,10,0.0,4.2,3,utility,/over-ons/
https://bm-klus-bv.nl/muren-stucen/,0,837,0.0,32.54,50,service,/muren-stucen/
https://bm-klus-bv.nl/diensten/,0,28,0.0,4.93,2,service,/diensten/
https://bm-klus-bv.nl/gevelisolatie/delft/,0,1,0.0,6.0,1,city,/gevelisolatie/delft/
https://bm-klus-bv.nl/gevelisolatie/dordrecht/,0,4,0.0,25.25,2,city,/gevelisolatie/dordrecht/
https://bm-klus-bv.nl/gevelisolatie/rotterdam/,0,51,0.0,32.71,4,city,/gevelisolatie/rotterdam/
https://bm-klus-bv.nl/gevelisolatie/vlaardingen/,0,7,0.0,12.86,3,city,/gevelisolatie/vlaardingen/
https://bm-klus-bv.nl/object7/,0,1,0.0,12.0,1,,/object7/
https://bm-klus-bv.nl/onze-werken/,0,33,0.0,1.88,1,archive,/onze-werken/
https://bm-klus-bv.nl/onze-werken/vlaardingen-gevelisolatie-6cm-sierpleister-2024/,0,3,0.0,21.67,2,project,/onze-werken/vlaardingen-gevelisolatie-6cm-sierpleister-2024/
https://bm-klus-bv.nl/sierpleister/,0,256,0.0,38.92,24,service,/sierpleister/
https://bm-klus-bv.nl/gevelisolatie/subsidie-vergunning/,0,3,0.0,5.67,2,cluster,/gevelisolatie/subsidie-vergunning/
https://bm-klus-bv.nl/gevelisolatie/capelle-aan-den-ijssel/,0,1,0.0,10.0,1,city,/gevelisolatie/capelle-aan-den-ijssel/
https://bm-klus-bv.nl/gevelisolatie/afwerkingen/,0,23,0.0,21.57,8,cluster,/gevelisolatie/afwerkingen/
https://bm-klus-bv.nl/gevelisolatie/rc-waarde-dikte/,0,120,0.0,63.08,18,cluster,/gevelisolatie/rc-waarde-dikte/
https://bm-klus-bv.nl/images/projects/halsteren-buitenstucwerk-na-01.webp,0,1,0.0,2.0,1,,/images/projects/halsteren-buitenstucwerk-na-01.webp/
https://bm-klus-bv.nl/gevelisolatie-woning-almere-35m2-sierpleister/,0,90,0.0,13.89,1,,/gevelisolatie-woning-almere-35m2-sierpleister/
https://bm-klus-bv.nl/gevelisolatie/alphen-aan-den-rijn/,0,2,0.0,11.0,1,city,/gevelisolatie/alphen-aan-den-rijn/
https://bm-klus-bv.nl/gevelisolatie/breda/,0,18,0.0,15.56,1,city,/gevelisolatie/breda/
https://bm-klus-bv.nl/gevelisolatie/gouda/,0,2,0.0,6.5,1,city,/gevelisolatie/gouda/
https://bm-klus-bv.nl/onze-werken/rotterdam-julianastraat-aanbouw-isolatie-4cm-2026/,0,1,0.0,8.0,1,project,/onze-werken/rotterdam-julianastraat-aanbouw-isolatie-4cm-2026/
https://bm-klus-bv.nl/schoonmaak-na-verbouwing/,0,320,0.0,36.53,10,service,/schoonmaak-na-verbouwing/
https://bm-klus-bv.nl/images/muren-stucen-voordelen.webp,0,1,0.0,12.0,1,,/images/muren-stucen-voordelen.webp/
